id,name,pkg,lead_ext,category,packaged,lifecycle,kind,kernel,vendor,contrib,lang,license,tags,version,url,repo_url,home_url,doc_url,license_url,control_url,author_url,cargo_url,pgxn_url,has_bin,has_lib,need_ddl,need_load,trusted,relocatable,libs,schemas,pg_ver,requires,required_by,see_also,tarball,pgrx_ver,rpm_ver,rpm_repo,rpm_pkg,rpm_pg,rpm_deps,rpm_build,deb_ver,deb_repo,deb_pkg,deb_pg,deb_deps,deb_build,stars,watchers,forks,repo_created_at,last_commit,last_release,last_active,checked_at,en_desc,zh_desc,comment,extra,mtime
1100,pg_dispatch,pg_dispatch,pg_dispatch,TIME,t,,puresql,,,f,SQL,PostgreSQL,,0.1.5,https://github.com/Snehil-Shah/pg_dispatch,https://github.com/Snehil-Shah/pg_dispatch,,,https://github.com/Snehil-Shah/pg_dispatch/blob/main/LICENSE,https://github.com/Snehil-Shah/pg_dispatch/blob/main/pg_dispatch.control,https://github.com/Snehil-Shah,,https://pgxn.org/dist/pg_dispatch/,f,f,t,f,f,f,,,"{14,15,16,17,18}","{pg_cron,pgcrypto}",,"{pg_cron,pg_task,pg_later,pg_background}",pg_dispatch-0.1.5.tar.gz,,0.1.5,PIGSTY,pg_dispatch_$v,"{18,17,16,15,14}",,t,0.1.5,PIGSTY,postgresql-$v-pg-dispatch,"{18,17,16,15,14}",{postgresql-$v-cron},t,14,0,0,2025-05-28,2025-06-02,2025-06-01,2025-06-02,2026-07-16,Asynchronous SQL dispatcher built on pg_cron,基于 pg_cron 的异步 SQL 分发器,,{},2026-07-18
1110,pg_background,pg_background,pg_background,TIME,t,,standard,,,f,C,GPL-3.0,,2.0.2,https://github.com/vibhorkum/pg_background,https://github.com/vibhorkum/pg_background,,,https://github.com/vibhorkum/pg_background/blob/master/LICENSE,https://github.com/vibhorkum/pg_background/blob/master/pg_background.control,https://github.com/vibhorkum,,,f,t,t,f,f,t,,,"{14,15,16,17,18}",,{pg_dbms_lock},"{pg_cron,pg_task,pg_later,pgq,timescaledb,timescaledb_toolkit,timeseries,periods}",pg_background-2.0.2.tar.gz,,2.0.2,PGDG,pg_background_$v,"{18,17,16,15,14}",,t,2.0.2,PGDG,postgresql-$v-pg-background,"{18,17,16,15,14}",,t,252,11,41,2016-06-06,2026-06-12,2026-06-12,2026-06-12,2026-07-16,Run SQL queries in the background,在后台运行 SQL 查询,,{},2026-07-17
1120,pg_when,pg_when,pg_when,TIME,t,,standard,,,f,Rust,MIT,{pgrx},0.1.9,https://github.com/frectonz/pg-when,https://github.com/frectonz/pg-when,,,https://github.com/frectonz/pg-when/blob/main/LICENSE,https://github.com/frectonz/pg-when/blob/main/pg_when.control,https://github.com/frectonz,https://github.com/frectonz/pg-when/blob/main/Cargo.toml,https://pgxn.org/dist/pg_when/,f,t,t,f,f,f,,,"{14,15,16,17,18}",,,,pg_when-0.1.9.tar.gz,0.19.1,0.1.9,PIGSTY,pg_when_$v,"{18,17,16,15,14}",,t,0.1.9,PIGSTY,postgresql-$v-pg-when,"{18,17,16,15,14}",,t,44,0,2,2025-06-26,2025-11-08,2025-07-14,2025-11-08,2026-07-16,Natural language time parsing for PostgreSQL,PostgreSQL 自然语言时间解析扩展,raw pgrx: 0.15.0,{},2026-07-21
1130,pg_stl,pg_stl,pg_stl,TIME,t,,standard,,,f,C,PostgreSQL,,1.0.0,https://github.com/nadyaloseva/pg_ts_analysis,https://github.com/nadyaloseva/pg_ts_analysis,,,https://github.com/nadyaloseva/pg_ts_analysis/blob/main/LICENSE,https://github.com/nadyaloseva/pg_ts_analysis/blob/main/pg_stl.control,https://github.com/nadyaloseva,,https://pgxn.org/dist/pg_stl/,f,t,t,f,f,t,,,"{16,17,18}",,,"{timescaledb,timeseries,periods}",pg_stl-1.0.0.tar.gz,,1.0.0,PIGSTY,pg_stl_$v,"{16,17,18}",,t,1.0.0,PIGSTY,postgresql-$v-pg-stl,"{16,17,18}",,t,6,0,0,2026-01-17,2026-06-02,,2026-06-02,2026-07-16,Time series analysis functions for PostgreSQL,PostgreSQL 时间序列分析函数,,{},2026-07-21
1140,cron_utils,cron_utils,cron_utils,TIME,t,,puresql,,,f,SQL,MIT,"{cron,schedule}",0.1.0,https://github.com/Myshkouski/pg-cron-utils,https://github.com/Myshkouski/pg-cron-utils,,,,,,,https://pgxn.org/dist/cron_utils/,f,f,t,f,f,t,,,"{14,15,16,17,18}",,,"{pg_cron,pg_when,pgcalendar,periods}",cron_utils-0.1.0.tar.gz,,0.1.0,PIGSTY,cron_utils_$v,"{18,17,16,15,14}",,t,0.1.0,PIGSTY,postgresql-$v-cron-utils,"{18,17,16,15,14}",,t,,,,,,,,2026-07-20,Parse cron expressions and compute previous or next trigger times,解析 Cron 表达式并计算上一次或下一次触发时间,The PGXN 0.1.0 distribution is marked unstable; the control file marks the extension relocatable.,"{""status"": ""unstable""}",2026-07-21
1500,postgis,postgis,postgis,GIS,t,,standard,,,f,C,GPL-2.0,,3.6.4,https://git.osgeo.org/gitea/postgis/postgis,https://git.osgeo.org/gitea/postgis/postgis,https://postgis.net,,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/COPYING,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/extensions/postgis/postgis.control.in,https://gitea.osgeo.org/postgis,,,f,t,t,f,f,f,,,"{14,15,16,17,18}",,"{ast_postgis,brin4postgis,cartodb,documentdb,dumppoints,firefly,frapi,gbuilder,geohash_extra,geohistorical_objects,h3_postgis,hamradio,htc,livewire,lostgis,mobilitydb,nfiesta,nfiesta_sdesign,pg_eviltransform,pg_geohash_extra,pg_lake_spatial,pg_landmetrics,pg_popyramids_datamarts,pg_tileless,pg_tms,pg_trajectory,pg_twkb,pgh3,pgh_consistency,pgh_hgm,pgh_output,pgh_output_en_au,pgh_output_pt_br,pgh_raster,pghydro,pgrouting,plv8geo,pointcloud_postgis,postgis_domains,postgis_letters,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,postgis_topology,qdgc_postgis,rasterdb,rtiles,siguanet_quest,vasavgeom}","{pointcloud,h3,pg_geohash,geoip,pg_polyline,earthdistance,ogr_fdw,tzf}",,,3.6.3,PGDG,postgis36_$v,"{18,17,16,15,14}",,f,3.6.4,PGDG,postgresql-$v-postgis-3,"{18,17,16,15,14}",,f,9,10,33,,2026-05-11,2026-04-14,2026-05-11,,PostGIS geometry and geography spatial types and functions,PostGIS 几何和地理空间扩展,,{},2026-07-11
1501,postgis_topology,postgis,postgis,GIS,t,,standard,,,f,C,GPL-2.0,,3.6.4,https://git.osgeo.org/gitea/postgis/postgis,https://git.osgeo.org/gitea/postgis/postgis,https://postgis.net,,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/COPYING,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/extensions/postgis_topology/postgis_topology.control.in,https://gitea.osgeo.org/postgis,,,f,t,t,f,f,f,,{topology},"{14,15,16,17,18}",{postgis},{livewire},"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",,,3.6.3,PGDG,postgis36_$v,"{18,17,16,15,14}",,f,3.6.4,PGDG,postgresql-$v-postgis-3,"{18,17,16,15,14}",,f,9,10,33,,2026-05-11,2026-04-14,2026-05-11,,PostGIS topology spatial types and functions,PostGIS 拓扑空间类型和函数,,{},2026-06-19
1502,postgis_raster,postgis,postgis,GIS,t,,standard,,,f,C,GPL-2.0,,3.6.4,https://git.osgeo.org/gitea/postgis/postgis,https://git.osgeo.org/gitea/postgis/postgis,https://postgis.net,,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/COPYING,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/extensions/postgis_raster/postgis_raster.control.in,https://gitea.osgeo.org/postgis,,,f,t,t,f,f,f,,,"{14,15,16,17,18}",{postgis},"{h3_postgis,pgh_hgm,pgh_raster}","{pointcloud_postgis,pointcloud,pgrouting,h3,q3c,ogr_fdw,geoip,pg_polyline}",,,3.6.3,PGDG,postgis36_$v,"{18,17,16,15,14}",,f,3.6.4,PGDG,postgresql-$v-postgis-3,"{18,17,16,15,14}",,f,9,10,33,,2026-05-11,2026-04-14,2026-05-11,,PostGIS raster types and functions,PostGIS 光栅类型和函数,,{},2026-07-11
1503,postgis_sfcgal,postgis,postgis,GIS,t,,standard,,,f,C,GPL-2.0,,3.6.4,https://git.osgeo.org/gitea/postgis/postgis,https://git.osgeo.org/gitea/postgis/postgis,https://postgis.net,,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/COPYING,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/extensions/postgis_sfcgal/postgis_sfcgal.control.in,https://gitea.osgeo.org/postgis,,,f,t,t,f,f,t,,,"{14,15,16,17,18}",{postgis},{pg_tileless},"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",,,3.6.3,PGDG,postgis36_$v,"{18,17,16,15,14}",,f,3.6.4,PGDG,postgresql-$v-postgis-3,"{18,17,16,15,14}",,f,9,10,33,,2026-05-11,2026-04-14,2026-05-11,,PostGIS SFCGAL functions,PostGIS SFCGAL 函数,,{},2026-07-11
1504,postgis_tiger_geocoder,postgis,postgis,GIS,t,,standard,,,f,C,GPL-2.0,,3.6.4,https://git.osgeo.org/gitea/postgis/postgis,https://git.osgeo.org/gitea/postgis/postgis,https://postgis.net,,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/COPYING,https://gitea.osgeo.org/postgis/postgis/src/branch/stable-3.6/extensions/postgis_tiger_geocoder/postgis_tiger_geocoder.control.in,https://gitea.osgeo.org/postgis,,,f,t,t,f,t,f,,{tiger},"{14,15,16,17,18}","{fuzzystrmatch,postgis}",,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",,,3.6.3,PGDG,postgis36_$v,"{18,17,16,15,14}",,f,3.6.4,PGDG,postgresql-$v-postgis-3,"{18,17,16,15,14}",,f,9,10,33,,2026-05-11,2026-04-14,2026-05-11,,PostGIS tiger geocoder and reverse geocoder,PostGIS tiger 地理编码器和反向地理编码器,,{},2026-06-19
